最終評価,店名,項目,星5段階評価,lunch(~以内の値段で食べられる),北千住駅から徒歩(分),お問い合わせ,予約可否,営業時間,支払い方法
12.26666666666667,東京屋台らーめん 翔竜 （しょうりゅう）,ラーメン,3.49,999,1,050-5589-5590,予約不可,月 11:00 - 15:00 18:00 - 01:00 火・水・木 11:00 - 01:00 金 11:00 - 02:40 土 11:00 - 16:00 17:00 - 02:40 日 11:00 - 15:00 18:00 - 00:00 ■ 営業時間 ・日曜　15：00〜18：00 ・月曜　15：00〜18：00 ・土曜　16：00〜17：00 準備のため上記時間はアイドルタイムとさせて頂きます。  ■定休日 なし  ■2階席予約 2階席、予約承ります。 ランチタイム12：00～13：00 3名様より承ります。  当日のみ。 11：50まで受け付けします。,カード不可 電子マネー不可 QRコード決済不可
10.122222222222224,横浜ラーメン　武蔵家 北千住店,ラーメン,3.47,999,2,03-3870-7410,予約不可,月・火・水・木・金・土 06:00 - 23:00 日 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可
10.038288588738816,北千住煮干中華蕎麦 かれん,ラーメン,3.68,1999,1,不明の為情報お待ちしております,予約不可,月・水・金 11:00 - 15:00 18:00 - 23:00 L.O. 22:45 火・木・土・日・祝日 11:00 - 23:00 L.O. 22:45 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可
9.905555555555555,武蔵家 北千住西口店,ラーメン,3.44,999,2,03-5284-3634,予約不可,11:00 - 00:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可
9.01666666666667,福しん 北千住東口店,ラーメン,3.04,999,1,03-3870-0256,予約不可,11:00 - 22:00 L.O. 21:45 ■ 定休日 年末年始 他、臨時休業有り,カード可 電子マネー可 （交通系電子マネー（Suicaなど）） QRコード決済可 （PayPay、d払い、au PAY）
9.01666666666667,日高屋 北千住西口駅前店,ラーメン,3.04,999,1,03-3870-9177,予約不可,月 09:00 - 02:00 火・水・木・金・土 05:00 - 02:00 日・祝日 05:00 - 23:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 （AMEX、JCB、VISA、Master、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）
8.950000000000001,ひむろ 北千住店,ラーメン,3.4,999,3,03-5284-8244,予約不可,月・火・水・木・金・土 11:00 - 23:00 日 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済可 （PayPay）
8.088288588738816,千住 チャーシュー軒,ラーメン,3.41,1999,1,非公開,予約不可,月・火・水・木・土・日 11:00 - 04:00 金 11:00 - 07:00 ■営業時間 am11:00-am4:00 ※毎週金曜日のみ am11:00-am7:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）
7.7327330331832576,牛骨らぁ麺マタドール,ラーメン,3.73,1999,3,不明の為情報お待ちしております,予約不可,火・水・木・金・土 11:30 - 14:30 18:00 - 21:00 日・祝日 11:30 - 16:00 月 定休日 ■ 営業時間 【火・水・木・金・土】 18:00～21:00（※なくなり次第終了）  【日・祝】 11:30～16:00（※なくなり次第終了）,カード不可 電子マネー不可 QRコード決済不可
7.727177477627702,雲林坊 北千住東口店,ラーメン,3.36,1999,1,03-5284-8077,予約不可,火・水・木・金 11:30 - 23:00 L.O. 22:30 土・日・祝日 11:00 - 22:30 L.O. 22:00 月 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可
7.622222222222223,宗庵 北千住店,ラーメン,3.29,999,5,03-5244-2134,予約不可,None-info,カード不可 電子マネー不可 QRコード決済不可
7.077177477627703,元祖油堂 北千住東口店,ラーメン,3.27,1999,1,03-5284-7048,予約不可,■ 営業時間 営業時間・休業日は変更となる場合がございますので、HPにて最新情報をご確認ください  ■ 定休日 無休,カード不可 電子マネー可 QRコード決済不可
