星5段階評価,店名,ジャンル,お問い合わせ,予約可否,住所,交通手段,営業時間,dinner,lunch,支払い方法,受賞・選出歴,サービス料・ チャージ
3.49,東京屋台らーめん 翔竜 （しょうりゅう）,ラーメン、つけ麺、油そば・まぜそば,050-5589-5590,予約不可,東京都足立区千住1-39-12 田中ビル　１Ｆ  ,北千住駅から、徒歩1分（0.1km）です。 北千住駅から139m,月 11:00 - 15:00 18:00 - 01:00 火・水・木 11:00 - 01:00 金 11:00 - 02:40 土 11:00 - 16:00 17:00 - 02:40 日 11:00 - 15:00 18:00 - 00:00 ■ 営業時間 ・日曜　15：00〜18：00 ・月曜　15：00〜18：00 ・土曜　16：00〜17：00 準備のため上記時間はアイドルタイムとさせて頂きます。  ■定休日 なし  ■2階席予約 2階席、予約承ります。 ランチタイム12：00～13：00 3名様より承ります。  当日のみ。 11：50まで受け付けします。,"￥1,000～￥1,999",～￥999,カード不可 電子マネー不可 QRコード決済不可,,
3.68,麺屋 音 （オト）,ラーメン、つけ麺,03-3882-3922,予約不可,東京都足立区千住3-60 土井川ビル 1F  ,北千住駅から徒歩5分 北千住駅から340m,11:30 - 00:00 ■ 定休日 無,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可,,
3.57,麺屋 音 別邸 （メンヤ オト ベッテイ）,ラーメン,03-5284-1139,予約不可,東京都足立区千住4-19-11  ,北千住駅から徒歩5分 北千住駅から384m,11:30 - 00:00 ■ 定休日 無,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可,,
3.04,福しん 北千住東口店,ラーメン,03-3870-0256,予約不可,東京都足立区千住旭町41-2  ,ＪＲ常磐線 北千住駅東口、すぐ 北千住駅から79m,11:00 - 22:00 L.O. 21:45 ■ 定休日 年末年始 他、臨時休業有り,"￥1,000～￥1,999",～￥999,カード可 電子マネー可 （交通系電子マネー（Suicaなど）） QRコード決済可 （PayPay、d払い、au PAY）,,
3.30,韓韓麺 千住店 （カンカンメン）,韓国料理、ラーメン,03-3870-7826,予約可,東京都足立区千住2-62  ,北千住駅から104m,火・水・木・金・土 18:00 - 23:00 月・日 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,"￥1,000～￥1,999",None-info,カード不可 電子マネー不可,,
3.04,日高屋 北千住西口駅前店,ラーメン、中華料理、食堂,03-3870-9177,予約不可,東京都足立区千住2-62 根岸ビル1F  ,北千住駅から徒歩2分ほど 北千住駅から86m,月 09:00 - 02:00 火・水・木・金・土 05:00 - 02:00 日・祝日 05:00 - 23:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,～￥999,～￥999,カード可 （AMEX、JCB、VISA、Master、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,,
3.15,北海道らーめん奥原流 久楽 北千住店,ラーメン、つけ麺,03-5284-1440,予約不可,東京都足立区千住旭町42-1 北千住駅構内２Fコンコース  ,北千住駅構内２Fコンコース 北千住駅から32m,07:00 - 09:30 10:00 - 23:00 ■ 営業時間 9:30～10:00の間はスープ入換えの為準備中になります。  ■定休日 無休,～￥999,～￥999,カード不可 電子マネー可 QRコード決済可,,
3.68,北千住煮干中華蕎麦 かれん,ラーメン,不明の為情報お待ちしております,予約不可,東京都足立区千住2-52  ,北千住駅から146m,月・水・金 11:00 - 15:00 18:00 - 23:00 L.O. 22:45 火・木・土・日・祝日 11:00 - 23:00 L.O. 22:45 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可 QRコード決済不可,,
3.12,紅虎餃子房 ルミネ北千住店 （べにとらぎょうざぼう）,中華料理、飲茶・点心、ラーメン,03-3870-9122,予約可,東京都足立区千住旭町42-2 ルミネ北千住店 8F  ,JR・地下鉄北千住駅 徒歩1分 北千住駅から96m,11:00 - 22:00 ■ 営業時間 11:00～22:00（21:30）  ■ 定休日 ルミネ北千住に準ずる,"￥2,000～￥2,999","￥1,000～￥1,999",カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可,,
3.27,元祖油堂 北千住東口店,油そば・まぜそば、つけ麺,03-5284-7048,予約不可,東京都足立区千住旭町41-17  ,JR･東武鉄道･東京メトロ北千住駅東口から徒歩1分 北千住駅から85m,■ 営業時間 営業時間・休業日は変更となる場合がございますので、HPにて最新情報をご確認ください  ■ 定休日 無休,～￥999,"￥1,000～￥1,999",カード不可 電子マネー可 QRコード決済不可,,
