店名,星5段階評価,dinner(~以内の値段で食べられる),lunch(~以内の値段で食べられる),北千住駅からの距離,北千住駅から徒歩(分),項目,お問い合わせ,予約可否,営業時間,支払い方法,声の大きさ,北千住駅から徒歩(分)(逆数),lunch(~以内の値段で食べられる)(逆数),星5段階評価(標準化),lunch(~以内の値段で食べられる)(標準化),北千住駅から徒歩(分)(標準化),最終評価
東京屋台らーめん 翔竜 （しょうりゅう）,3.49,1999,999,139.0,1,ラーメン,050-5589-5590,予約不可,月 11:00 - 15:00 18:00 - 01:00 火・水・木 11:00 - 01:00 金 11:00 - 02:40 土 11:00 - 16:00 17:00 - 02:40 日 11:00 - 15:00 18:00 - 00:00 ■ 営業時間 ・日曜　15：00〜18：00 ・月曜　15：00〜18：00 ・土曜　16：00〜17：00 準備のため上記時間はアイドルタイムとさせて頂きます。  ■定休日 なし  ■2階席予約 2階席、予約承ります。 ランチタイム12：00～13：00 3名様より承ります。  当日のみ。 11：50まで受け付けします。,カード不可 電子マネー不可 QRコード決済不可,4,1.0,0.001001001001001001,0.6666666666666671,1.0,1.0,12.26666666666667
横浜ラーメン　武蔵家 北千住店,3.47,999,999,166.0,2,ラーメン,03-3870-7410,予約不可,月・火・水・木・金・土 06:00 - 23:00 日 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可,4,0.5,0.001001001001001001,0.6388888888888893,1.0,0.5,10.122222222222224
北千住煮干中華蕎麦 かれん,3.68,1999,1999,146.0,1,ラーメン,不明の為情報お待ちしております,予約不可,月・水・金 11:00 - 15:00 18:00 - 23:00 L.O. 22:45 火・木・土・日・祝日 11:00 - 23:00 L.O. 22:45 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可,4,1.0,0.0005002501250625312,0.9305555555555558,0.24987493746873435,1.0,10.038288588738816
武蔵家 北千住西口店,3.44,999,999,164.0,2,ラーメン,03-5284-3634,予約不可,11:00 - 00:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可,4,0.5,0.001001001001001001,0.5972222222222223,1.0,0.5,9.905555555555555
福しん 北千住東口店,3.04,1999,999,79.0,1,ラーメン,03-3870-0256,予約不可,11:00 - 22:00 L.O. 21:45 ■ 定休日 年末年始 他、臨時休業有り,カード可 電子マネー可 （交通系電子マネー（Suicaなど）） QRコード決済可 （PayPay、d払い、au PAY）,4,1.0,0.001001001001001001,0.041666666666667,1.0,1.0,9.01666666666667
日高屋 北千住西口駅前店,3.04,999,999,86.0,1,ラーメン,03-3870-9177,予約不可,月 09:00 - 02:00 火・水・木・金・土 05:00 - 02:00 日・祝日 05:00 - 23:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 （AMEX、JCB、VISA、Master、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,4,1.0,0.001001001001001001,0.041666666666667,1.0,1.0,9.01666666666667
ひむろ 北千住店,3.4,999,999,244.0,3,ラーメン,03-5284-8244,予約不可,月・火・水・木・金・土 11:00 - 23:00 日 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済可 （PayPay）,4,0.3333333333333333,0.001001001001001001,0.5416666666666667,1.0,0.3333333333333333,8.950000000000001
千住 チャーシュー軒,3.41,1999,1999,102.0,1,ラーメン,非公開,予約不可,月・火・水・木・土・日 11:00 - 04:00 金 11:00 - 07:00 ■営業時間 am11:00-am4:00 ※毎週金曜日のみ am11:00-am7:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,4,1.0,0.0005002501250625312,0.5555555555555559,0.24987493746873435,1.0,8.088288588738816
牛骨らぁ麺マタドール,3.73,1999,1999,285.0,3,ラーメン,不明の為情報お待ちしております,予約不可,火・水・木・金・土 11:30 - 14:30 18:00 - 21:00 日・祝日 11:30 - 16:00 月 定休日 ■ 営業時間 【火・水・木・金・土】 18:00～21:00（※なくなり次第終了）  【日・祝】 11:30～16:00（※なくなり次第終了）,カード不可 電子マネー不可 QRコード決済不可,4,0.3333333333333333,0.0005002501250625312,1.0,0.24987493746873435,0.3333333333333333,7.7327330331832576
雲林坊 北千住東口店,3.36,1999,1999,75.0,1,ラーメン,03-5284-8077,予約不可,火・水・木・金 11:30 - 23:00 L.O. 22:30 土・日・祝日 11:00 - 22:30 L.O. 22:00 月 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可,4,1.0,0.0005002501250625312,0.4861111111111111,0.24987493746873435,1.0,7.727177477627702
宗庵 北千住店,3.29,999,999,397.0,5,ラーメン,03-5244-2134,予約不可,None-info,カード不可 電子マネー不可 QRコード決済不可,4,0.2,0.001001001001001001,0.3888888888888891,1.0,0.2,7.622222222222223
元祖油堂 北千住東口店,3.27,999,1999,85.0,1,ラーメン,03-5284-7048,予約不可,■ 営業時間 営業時間・休業日は変更となる場合がございますので、HPにて最新情報をご確認ください  ■ 定休日 無休,カード不可 電子マネー可 QRコード決済不可,4,1.0,0.0005002501250625312,0.3611111111111113,0.24987493746873435,1.0,7.077177477627703
麺屋 音 （オト）,3.68,1999,1999,340.0,4,ラーメン,03-3882-3922,予約不可,11:30 - 00:00 ■ 定休日 無,カード不可 電子マネー不可,4,0.25,0.0005002501250625312,0.9305555555555558,0.24987493746873435,0.25,7.038288588738816
北海道らーめん みそ熊 北千住店,3.2,1999,999,391.0,5,ラーメン,03-3870-5415,予約不可,10:30 - 04:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可,4,0.2,0.001001001001001001,0.26388888888888934,1.0,0.2,6.972222222222224
日高屋 北千住東口店,3.02,1999,999,224.0,2,ラーメン,03-3888-0155,予約不可,10:30 - 23:00 L.O. 22:30 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 （AMEX、JCB） 電子マネー可 QRコード決済可,4,0.5,0.001001001001001001,0.013888888888889206,1.0,0.5,6.872222222222224
