店名,星5段階評価,dinner(~以内の値段で食べられる),lunch(~以内の値段で食べられる),北千住駅からの距離,北千住駅から徒歩(分),項目,お問い合わせ,予約可否,営業時間,支払い方法
寿司 牡蠣 北千住スシエビス,3.29,3999,0,136.0,1,寿司,050-5593-1383,予約可,月・火・水・木・金 16:00 - 23:00 土・日・祝日 12:00 - 23:00,カード可 （VISA、Master） 電子マネー可 QRコード決済可 （PayPay）
はなの舞 北千住店,3.04,3999,999,155.0,2,寿司,050-5589-5189,予約可,月・火・水・木 11:30 - 00:00 L.O. 料理23:00 ドリンク23:30 金・土・祝前日 11:30 - 05:00 L.O. 料理04:00 ドリンク04:30 日 11:30 - 23:30 L.O. 料理22:30 ドリンク23:00,カード可 （VISA、JCB、AMEX、Master、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）
九州人情酒場 魚星 北千住東口店,3.04,0,0,146.0,1,寿司,050-5600-3747,予約可,16:00 - 23:30 L.O. 料理22:30 ドリンク23:00 ■ 営業時間 【九州魚星のおすすめ】 テーブル席 飲み放題 刺身 刺身盛り 焼酎 日本酒 ウイスキー ハイボール 少人数  ■ 定休日 なし,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ）
きく鮨,3.40,14999,1999,478.0,6,寿司,050-5594-8743,予約可 貸切時応相談,11:30 - 14:30 17:00 - 22:00 ■定休日 なし,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （PayPay）
鮨・酒・肴 杉玉 北千住,3.16,4999,1999,375.0,5,寿司,050-5872-7373,予約可 混雑した場合、お席のお時間２時間でお願いする場合がございます。 お客様にはご迷惑をお掛けしますが、ご理解とご了承お願い致します。,月・火・水・木・金 11:30 - 14:30 L.O. 14:00 17:00 - 23:00 L.O. 22:30 土・日・祝日 11:30 - 14:30 L.O. 14:00 16:00 - 23:00 L.O. 22:30,カード可 （VISA、Master） 電子マネー不可 QRコード決済不可
大江戸 北千住店,3.17,1999,1999,179.0,2,寿司,03-5813-0551,予約不可,None-info,カード可 （AMEX、JCB） 電子マネー可 （交通系電子マネー（Suicaなど）、iD） QRコード決済可 （PayPay）
ちよだ鮨 北千住店,3.01,0,0,355.0,4,寿司,03-3882-6101,None-info,10:00 - 21:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 （AMEX）
魚力 北千住マルイ店,3.03,999,1999,145.0,1,寿司,03-5284-3621,予約不可,10:00 - 20:00 ■ 定休日 不定休(北千住マルイの営業に準ずる) 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 （VISA、Master、JCB） 電子マネー可
山与し鮨,3.23,0,1999,171.0,2,寿司,03-3881-0733,予約可,None-info,カード可 （AMEX） 電子マネー不可
まぐろ人 北千住出張所,3.33,0,2999,224.0,2,寿司,03-5284-7689,予約不可,11:30 - 22:00,カード可 電子マネー可 QRコード決済可
北千住　おすしやさんの家　たなか,3.38,7999,3999,613.0,8,寿司,03-6806-1078,予約可 営業時間外でも予約可能です。LINE公式アカウントでも予約、空き状況聞けます。,月・火・水・木・金 17:00 - 22:00 土・日・祝日 11:30 - 13:30 17:00 - 19:00 19:30 - 22:00 ■ 定休日 不定休,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （PayPay）
古市庵 北千住マルイ店,3.02,999,999,161.0,2,寿司,03-5244-1861,予約可,10:00 - 20:00 ■ 定休日 不定休(北千住マルイの営業に準ずる) 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 電子マネー可
きね鮨,3.23,5999,0,293.0,3,寿司,03-3870-0194,予約可,None-info,カード可 （JCB、AMEX、Diners） 電子マネー不可
回転寿司みさき エキア北千住 （【旧店名】海鮮三崎港）,3.04,3999,999,92.0,1,寿司,03-5284-4388,予約不可,07:00 - 10:00 11:00 - 23:00 L.O. 22:30 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 （VISA、JCB、AMEX、Diners） 電子マネー可 QRコード決済可
居酒屋やおよろず,3.08,0,1999,496.0,6,寿司,03-6812-0905,予約可 【ご予約受付時間】 昼　11:30〜14:30 夜　17:00〜22:00 不定休の為、詳しくはお尋ねください 御予約受付時間　11:30〜22:00,11:30 - 15:00 L.O. 14:00 17:00 - 23:30 L.O. 22:30 ■ 定休日 不定休お気軽にお問い合わせください,カード可 （VISA、Master、JCB、AMEX） 電子マネー可 （交通系電子マネー（Suicaなど）、iD、QUICPay）
さかなや別邸,3.55,14999,2999,211.0,2,寿司,050-5592-6542,予約可 予約キャンセル時にはキャンセル料金として2日前50%、前日当日100％のコース料金を頂いています。ご了承ください。,11:30 - 13:30 L.O. 13:00 17:00 - 21:00 L.O. 20:30 ■ 営業時間 ランチ[月～日] ※ランチタイムは前日までの予約制のコース料理のみになります。    ディナー[月～日] ※終日2時間制とさせていただきます。 ※コース料理のみになっております。 ※席だけの予約は承っておりません。予めご了承ください。  ■ 定休日 不定休,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可
