星5段階評価,店名,ジャンル,お問い合わせ,予約可否,住所,交通手段,営業時間,dinner,lunch,支払い方法,領収書（適格簡易請求書）,サービス料・ チャージ
-,鮨 真汐,寿司,050-5593-6564,予約可,東京都足立区千住2-12 丸福ビルA棟 2F  ,北千住駅西口より徒歩4分 北千住駅から336m,月・火・水・木・金・土 17:00 - 22:00 日・祝日 定休日 月曜日、水曜日は隔週で定休日となります。 第１・第３　水曜日定休 第２・第４　月曜日定休,None-info,None-info,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （PayPay）,適格請求書（インボイス）対応の領収書発行が可能 登録番号：T1030001136632 ※最新の登録状況は国税庁インボイス制度適格請求書発行事業者公表サイトをご確認いただくか、店舗にお問い合わせください。,
3.29,寿司 牡蠣 北千住スシエビス,居酒屋、寿司、海鮮,050-5593-1383,予約可,東京都足立区千住2-65 五十嵐ビル 1F  ,北千住駅西口より徒歩2分 北千住駅から136m,月・火・水・木・金 16:00 - 23:00 土・日・祝日 12:00 - 23:00,"￥3,000～￥3,999",None-info,カード可 （VISA、Master） 電子マネー可 QRコード決済可 （PayPay）,,384円（税込）
3.04,はなの舞 北千住店,居酒屋、海鮮、寿司,050-5589-5189,予約可,東京都足立区千住2-54 北千住ハリウッドビル 1F・2F  ,JR・地下鉄・東武・つくばエクスプレス北千住駅 西口より徒歩2分 北千住駅から155m,月・火・水・木 11:30 - 00:00 L.O. 料理23:00 ドリンク23:30 金・土・祝前日 11:30 - 05:00 L.O. 料理04:00 ドリンク04:30 日 11:30 - 23:30 L.O. 料理22:30 ドリンク23:00,"￥3,000～￥3,999",～￥999,カード可 （VISA、JCB、AMEX、Master、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,適格請求書（インボイス）対応の領収書発行が可能 登録番号：T9010601039989 ※最新の登録状況は国税庁インボイス制度適格請求書発行事業者公表サイトをご確認いただくか、店舗にお問い合わせください。,お通し：あり　※酒類をお召し上がりのお客様に頂いております。価格についてはメニューページ最下部をご確認ください。
3.04,九州人情酒場 魚星 北千住東口店,居酒屋、海鮮、寿司,050-5600-3747,予約可,東京都足立区千住旭町40-27 ビックリヤ旭町ビル 2F・4F  ,【JR北千住駅・つくばエクスプレス北千住駅東口より徒歩約1分】東口を出て、まっすぐ歩いて左側にございます。2Fが受付となっております。  【九州魚星のおすすめ】 飲み放題 宴会コース 単品飲み放題 当日予約OK 学生応援 誕生日・記念日特典クーポン ケーキ・花束プレゼント お祝い 海鮮 鮮魚 刺身 もつ鍋 馬刺し 鶏たたき 明太子 サラダ 串焼き 揚げ物 玉子焼き 寿司 ピザ ビール 焼酎 日本酒 サワー ハイボール 居酒屋 飲み会 宴会 歓送迎会 二次会 女子会 北千住駅から146m,16:00 - 23:30 L.O. 料理22:30 ドリンク23:00 ■ 営業時間 【九州魚星のおすすめ】 テーブル席 飲み放題 刺身 刺身盛り 焼酎 日本酒 ウイスキー ハイボール 少人数  ■ 定休日 なし,None-info,None-info,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ）,適格請求書（インボイス）対応の領収書発行が可能 登録番号：T9010601039989 ※最新の登録状況は国税庁インボイス制度適格請求書発行事業者公表サイトをご確認いただくか、店舗にお問い合わせください。,お通し：あり　※酒類をお召し上がりのお客様に頂いております。価格についてはメニューページ最下部をご確認ください。
3.40,きく鮨,寿司、海鮮,050-5594-8743,予約可 貸切時応相談,東京都足立区千住仲町18-11  ,北千住駅徒歩8分 北千住駅から478m,11:30 - 14:30 17:00 - 22:00 ■定休日 なし,"￥10,000～￥14,999","￥1,000～￥1,999",カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （PayPay）,適格請求書（インボイス）対応の領収書発行が可能 登録番号：T7011801034187 ※最新の登録状況は国税庁インボイス制度適格請求書発行事業者公表サイトをご確認いただくか、店舗にお問い合わせください。,4６0円＋税のお通し
3.11,新富寿司,寿司、海鮮、日本料理,050-5597-4980,予約可,東京都足立区千住河原町29-5  ,千住大橋駅より徒歩7分、北千住駅より徒歩１０分 千住大橋駅から310m,月・火・木・金 11:00 - 14:00 17:00 - 22:00 L.O. 21:30 土・日・祝日 11:00 - 14:00 16:00 - 22:00 L.O. 21:30 水 定休日 ■ 営業時間 ランチメニューは月・火・木～土曜日のご提供となります。  ■ 定休日 第二火曜日　第四火曜日,None-info,None-info,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、nanaco） QRコード決済可 （PayPay、d払い、au PAY）,適格請求書（インボイス）対応の領収書発行が可能 登録番号：T8810634270547 ※最新の登録状況は国税庁インボイス制度適格請求書発行事業者公表サイトをご確認いただくか、店舗にお問い合わせください。,なし
3.16,鮨・酒・肴 杉玉 北千住,寿司、居酒屋、海鮮,050-5872-7373,予約可 混雑した場合、お席のお時間２時間でお願いする場合がございます。 お客様にはご迷惑をお掛けしますが、ご理解とご了承お願い致します。,東京都足立区千住3-31-4 ライオンズプラザ北千住 1F  ,JR東日本・常磐線「北千住駅」徒歩6分 東京メトロ千代田線「北千住駅」徒歩6分 東武鉄道・東京メトロ日比谷線「北千住駅」徒歩6分 北千住駅から375m,月・火・水・木・金 11:30 - 14:30 L.O. 14:00 17:00 - 23:00 L.O. 22:30 土・日・祝日 11:30 - 14:30 L.O. 14:00 16:00 - 23:00 L.O. 22:30,"￥4,000～￥4,999","￥1,000～￥1,999",カード可 （VISA、Master） 電子マネー不可 QRコード決済不可,適格請求書（インボイス）対応の領収書発行が可能 登録番号：T1120901035981 ※最新の登録状況は国税庁インボイス制度適格請求書発行事業者公表サイトをご確認いただくか、店舗にお問い合わせください。,
3.17,大江戸 北千住店,回転寿司,03-5813-0551,予約不可,東京都足立区千住2-55  ,JR北千住駅より徒歩５分程度 北千住駅から179m,None-info,"￥1,000～￥1,999","￥1,000～￥1,999",カード可 （AMEX、JCB） 電子マネー可 （交通系電子マネー（Suicaなど）、iD） QRコード決済可 （PayPay）,,
3.45,稲荷ずし 松むら 千住店 （いなりずし・まつむら）,いなり寿司、日本料理、寿司,03-3881-1790,予約不可,東京都足立区柳原2-23-6  ,牛田駅から390m,月・水・木・金・土・日 08:00 - 19:00 火 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,～￥999,～￥999,カード不可 電子マネー不可 QRコード決済不可,,
3.01,ちよだ鮨 北千住店,寿司,03-3882-6101,None-info,東京都足立区千住2-21  ,北千住駅から355m,10:00 - 21:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,None-info,None-info,カード可 （AMEX）,,
