店名,星5段階評価,dinner(~以内の値段で食べられる),lunch(~以内の値段で食べられる),北千住駅からの距離,北千住駅から徒歩(分),項目,お問い合わせ,予約可否,営業時間,支払い方法
東京屋台らーめん 翔竜 （しょうりゅう）,3.49,1999,999,139.0,1,ラーメン,050-5589-5590,予約不可,月 11:00 - 15:00 18:00 - 01:00 火・水・木 11:00 - 01:00 金 11:00 - 02:40 土 11:00 - 16:00 17:00 - 02:40 日 11:00 - 15:00 18:00 - 00:00 ■ 営業時間 ・日曜　15：00〜18：00 ・月曜　15：00〜18：00 ・土曜　16：00〜17：00 準備のため上記時間はアイドルタイムとさせて頂きます。  ■定休日 なし  ■2階席予約 2階席、予約承ります。 ランチタイム12：00～13：00 3名様より承ります。  当日のみ。 11：50まで受け付けします。,カード不可 電子マネー不可 QRコード決済不可
麺屋 音 （オト）,3.68,1999,1999,340.0,4,ラーメン,03-3882-3922,予約不可,11:30 - 00:00 ■ 定休日 無,カード不可 電子マネー不可
麺屋 音 別邸 （メンヤ オト ベッテイ）,3.57,1999,1999,384.0,5,ラーメン,03-5284-1139,予約不可,11:30 - 00:00 ■ 定休日 無,カード不可 電子マネー不可
福しん 北千住東口店,3.04,1999,999,79.0,1,ラーメン,03-3870-0256,予約不可,11:00 - 22:00 L.O. 21:45 ■ 定休日 年末年始 他、臨時休業有り,カード可 電子マネー可 （交通系電子マネー（Suicaなど）） QRコード決済可 （PayPay、d払い、au PAY）
韓韓麺 千住店 （カンカンメン）,3.30,1999,0,104.0,1,ラーメン,03-3870-7826,予約可,火・水・木・金・土 18:00 - 23:00 月・日 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可
日高屋 北千住西口駅前店,3.04,999,999,86.0,1,ラーメン,03-3870-9177,予約不可,月 09:00 - 02:00 火・水・木・金・土 05:00 - 02:00 日・祝日 05:00 - 23:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 （AMEX、JCB、VISA、Master、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）
北海道らーめん奥原流 久楽 北千住店,3.15,999,999,32.0,0,ラーメン,03-5284-1440,予約不可,07:00 - 09:30 10:00 - 23:00 ■ 営業時間 9:30～10:00の間はスープ入換えの為準備中になります。  ■定休日 無休,カード不可 電子マネー可 QRコード決済可
北千住煮干中華蕎麦 かれん,3.68,1999,1999,146.0,1,ラーメン,不明の為情報お待ちしております,予約不可,月・水・金 11:00 - 15:00 18:00 - 23:00 L.O. 22:45 火・木・土・日・祝日 11:00 - 23:00 L.O. 22:45 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可
紅虎餃子房 ルミネ北千住店 （べにとらぎょうざぼう）,3.12,2999,1999,96.0,1,ラーメン,03-3870-9122,予約可,11:00 - 22:00 ■ 営業時間 11:00～22:00（21:30）  ■ 定休日 ルミネ北千住に準ずる,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可
元祖油堂 北千住東口店,3.27,999,1999,85.0,1,ラーメン,03-5284-7048,予約不可,■ 営業時間 営業時間・休業日は変更となる場合がございますので、HPにて最新情報をご確認ください  ■ 定休日 無休,カード不可 電子マネー可 QRコード決済不可
牛骨らぁ麺マタドール,3.73,1999,1999,285.0,3,ラーメン,不明の為情報お待ちしております,予約不可,火・水・木・金・土 11:30 - 14:30 18:00 - 21:00 日・祝日 11:30 - 16:00 月 定休日 ■ 営業時間 【火・水・木・金・土】 18:00～21:00（※なくなり次第終了）  【日・祝】 11:30～16:00（※なくなり次第終了）,カード不可 電子マネー不可 QRコード決済不可
鯛塩そば灯花 千住ミルディス店,3.21,999,1999,147.0,1,ラーメン,050-5600-3843,予約不可,10:00 - 20:00,カード可 （VISA） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、iD、QUICPay） QRコード決済可 （PayPay）
肉玉そば おとど 北千住店,3.19,999,1999,95.0,1,ラーメン,03-6806-1054,予約不可,None-info,カード不可 電子マネー不可 QRコード決済不可
日高屋 北千住東口店,3.02,1999,999,224.0,2,ラーメン,03-3888-0155,予約不可,10:30 - 23:00 L.O. 22:30 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 （AMEX、JCB） 電子マネー可 QRコード決済可
千住 チャーシュー軒,3.41,1999,1999,102.0,1,ラーメン,非公開,予約不可,月・火・水・木・土・日 11:00 - 04:00 金 11:00 - 07:00 ■営業時間 am11:00-am4:00 ※毎週金曜日のみ am11:00-am7:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）
ラーメン 豚山 北千住東口店,3.21,999,1999,133.0,1,ラーメン,不明の為情報お待ちしております,予約不可,火・水・木・金・土・日 11:00 - 22:00 月 定休日 ■ 営業時間 営業時間・休業営業時間・休業日は変更となる場合がございますので、 HPにて最新情報をご確認ください,カード不可 電子マネー可 （交通系電子マネー（Suicaなど）） QRコード決済不可
福しん 北千住店,3.06,999,999,301.0,4,ラーメン,03-3881-6203,予約不可,11:00 - 23:00 ■ 定休日 年末年始 他、臨時休業有り,カード不可 電子マネー可 QRコード決済可
つけめん さなだ,3.73,1999,1999,451.0,6,ラーメン,不明の為情報お待ちしております,予約不可,月 11:30 - 14:45 火・水・木・金 11:30 - 14:45 18:00 - 20:45 土 11:00 - 16:00 18:00 - 20:45 日 11:00 - 16:00 18:00 - 20:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）
自家製麺 竜葵 マルイ北千住店 （ほおずき）,3.30,1999,1999,196.0,2,ラーメン,03-6806-2166,予約不可,None-info,カード不可 電子マネー不可 QRコード決済不可
北海道らーめん みそ熊 北千住店,3.20,1999,999,391.0,5,ラーメン,03-3870-5415,予約不可,10:30 - 04:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可
