店名,星5段階評価,dinner(~以内の値段で食べられる),lunch(~以内の値段で食べられる),北千住駅からの距離,北千住駅から徒歩(分),項目,お問い合わせ,予約可否,営業時間,支払い方法
モンスターズテーブル （monstar's tabLe）,3.18,5999,0,315.0,4,ハンバーガー,050-5595-4499,予約可 ※12/23・24・25の３日間はクリスマス限定コースのみの受付となります （お席のみでのご予約は承れませんのでご注意ください）,月・水・木・金・土・日 17:00 - 02:00 L.O. 01:00 火 定休日,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可
BOSSA BURGER,3.59,2999,2999,217.0,2,ハンバーガー,050-5594-2985,予約可,11:30 - 15:00 15:00 - 22:00 L.O. 21:00 ■ 営業時間 ディナータイムワンドリンク制(15:00〜21:00)  お席ご予約について 土日祝日ランチタイムは、オープン時間11:30のみ それ以降17:00以降でしたらご予約可  平日は、どの時間でもご予約可能です。  ■ 定休日 不定休、年末年始,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）
Cafe＆Diner KHB （【旧店名】ケーエイチ バーガーズ）,3.46,1999,1999,265.0,3,ハンバーガー,050-5868-9642,予約可,月・水・木・日・祝日 11:30 - 22:30 L.O. 料理22:00 ドリンク22:30 金・土・祝前日 11:30 - 00:00 L.O. 料理23:00 ドリンク23:30 火 定休日 ■ 営業時間 ランチタイム11：30～15:00  ■ 定休日 火曜日が祝日の場合は水曜日、年末年始,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （PayPay）
マクドナルド 千住ミルディス店,3.02,999,999,204.0,2,ハンバーガー,03-5284-3501,予約不可,10:00 - 20:00 ■ 定休日 不定休(北千住マルイの営業に準ずる) 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー可 QRコード決済可
サニーダイナー ルミネ北千住店 （SUNNY DINER）,3.53,1999,1999,3.0,0,ハンバーガー,03-5284-3211,予約不可,11:00 - 22:00 ■ 定休日 不定休（ルミネの定休に準ずる）,カード可 （VISA、Master、JCB、AMEX） 電子マネー不可
マクドナルド 北千住東口店,3.02,0,999,206.0,2,ハンバーガー,03-6806-2777,予約不可,06:00 - 00:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 電子マネー可 （楽天Edy） QRコード決済可 （PayPay）
エスディコーヒー 北千住 （Sd Coffee）,3.38,1999,1999,395.0,5,ハンバーガー,03-6806-1013,予約不可,月・水・木・金・土・日 09:00 - 18:00 火 定休日,カード可 （VISA、Master） 電子マネー不可 QRコード決済可 （PayPay）
マクドナルド 北千住西口店,3.03,999,999,75.0,1,ハンバーガー,03-5284-5660,予約不可,24時間営業 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 電子マネー可 QRコード決済可
オリジナルパンケーキハウス ルミネ北千住店,3.15,1999,1999,199.0,2,ハンバーガー,03-5284-8545,予約不可,11:00 - 22:00 L.O. 21:30 ■ 定休日 ルミネ北千住に準じる,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど））
サニーダイナー 本店 （SUNNY DINER）,3.52,1999,1999,364.0,4,ハンバーガー,03-3888-3211,予約可,11:30 - 22:00,カード可 （VISA、Master） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD）
モスバーガー 北千住センター通り店 （MOS BURGER）,3.01,999,999,400.0,5,ハンバーガー,03-3882-3848,予約可,月・火・水・木・金・土・日・祝日 07:00 - 23:00,カード不可
東京屋台らーめん 翔竜 （しょうりゅう）,3.49,1999,999,139.0,1,ラーメン,050-5589-5590,予約不可,月 11:00 - 15:00 18:00 - 01:00 火・水・木 11:00 - 01:00 金 11:00 - 02:40 土 11:00 - 16:00 17:00 - 02:40 日 11:00 - 15:00 18:00 - 00:00 ■ 営業時間 ・日曜　15：00〜18：00 ・月曜　15：00〜18：00 ・土曜　16：00〜17：00 準備のため上記時間はアイドルタイムとさせて頂きます。  ■定休日 なし  ■2階席予約 2階席、予約承ります。 ランチタイム12：00～13：00 3名様より承ります。  当日のみ。 11：50まで受け付けします。,カード不可 電子マネー不可 QRコード決済不可
麺屋 音 （オト）,3.68,1999,1999,340.0,4,ラーメン,03-3882-3922,予約不可,11:30 - 00:00 ■ 定休日 無,カード不可 電子マネー不可
麺屋 音 別邸 （メンヤ オト ベッテイ）,3.57,1999,1999,384.0,5,ラーメン,03-5284-1139,予約不可,11:30 - 00:00 ■ 定休日 無,カード不可 電子マネー不可
福しん 北千住東口店,3.04,1999,999,79.0,1,ラーメン,03-3870-0256,予約不可,11:00 - 22:00 L.O. 21:45 ■ 定休日 年末年始 他、臨時休業有り,カード可 電子マネー可 （交通系電子マネー（Suicaなど）） QRコード決済可 （PayPay、d払い、au PAY）
